Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,size,step_limit,steps,stored_percentage,totalInitialKnowledge,total_initial_knowledge,use_distance
400.0,0,9.942105263157895,0.35520525852505824,0.31236561556490106,0.9704672185485373,0,0.1,5,0.99,0.9892003086887534,"{'seed': 11, 'initCellFunc': 'randominit'}",0.02,0.0,435.95,160.7752312018543,20,2,20,400,400,"[('explored_percentage', [[0.5, 46], [0.9, 175]]), ('explored_weighted_by_initial_knowledge', [[0.5, 49], [0.9, 189]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",207.70464675771902,207.70464675771902,0
400.0,0,10.163157894736843,0.3273292746363542,0.2640646407055457,0.9314632255011983,0,0.1,5,0.9925,0.9889524905504874,"{'seed': 12, 'initCellFunc': 'randominit'}",0.02,0.0,437.2,143.57088604222517,20,2,20,400,400,"[('explored_percentage', [[0.5, 43], [0.9, 172]]), ('explored_weighted_by_initial_knowledge', [[0.5, 42], [0.9, 172]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",189.5320715044295,189.5320715044295,0
400.0,0,10.178947368421051,0.3512532142096342,0.31480860998775106,0.8981209067065683,0,0.1,5,0.9875,0.9940891185610639,"{'seed': 13, 'initCellFunc': 'randominit'}",0.02,0.0,438.85,152.80311183496943,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 222]]), ('explored_weighted_by_initial_knowledge', [[0.5, 42], [0.9, 214]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",202.86990275935145,202.86990275935145,0
400.0,0,9.926315789473685,0.3276187689048931,0.33586103181193505,0.9244602867946927,0,0.1,5,0.995,0.9945222601895846,"{'seed': 14, 'initCellFunc': 'randominit'}",0.02,0.0,436.05,150.67527413198303,20,2,20,400,400,"[('explored_percentage', [[0.5, 45], [0.9, 187]]), ('explored_weighted_by_initial_knowledge', [[0.5, 46], [0.9, 194]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",192.5476194525626,192.5476194525626,0
400.0,0,10.21578947368421,0.3197690129490141,0.24137849282165194,0.8433654661810046,0,0.1,5,0.995,0.9986042586897681,"{'seed': 15, 'initCellFunc': 'randominit'}",0.02,0.0,438.2,147.15858125118373,20,2,20,400,400,"[('explored_percentage', [[0.5, 50], [0.9, 141]]), ('explored_weighted_by_initial_knowledge', [[0.5, 49], [0.9, 141]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",187.97233222090532,187.97233222090532,0
400.0,0,9.526315789473683,0.35796537938095624,0.27082632466270556,0.9358044727545489,0,0.1,5,0.9975,0.9982309312101573,"{'seed': 16, 'initCellFunc': 'randominit'}",0.02,0.0,436.45,161.48584903167676,20,2,20,400,400,"[('explored_percentage', [[0.5, 38], [0.9, 177]]), ('explored_weighted_by_initial_knowledge', [[0.5, 42], [0.9, 181]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",209.09874319388314,209.09874319388314,0
400.0,0,9.578947368421053,0.3557549949111888,0.3243123483461111,0.9467914421133369,0,0.1,5,0.9875,0.9844206065879778,"{'seed': 17, 'initCellFunc': 'randominit'}",0.02,0.0,440.4,156.05589853597635,20,2,20,400,400,"[('explored_percentage', [[0.5, 38], [0.9, 169]]), ('explored_weighted_by_initial_knowledge', [[0.5, 40], [0.9, 172]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",205.9982830812006,205.9982830812006,0
400.0,0,10.22105263157895,0.33826281827886895,0.2775634864387987,0.8541984916025547,0,0.1,5,0.99,0.994075425763337,"{'seed': 18, 'initCellFunc': 'randominit'}",0.02,0.0,435.7,154.66141624519216,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 130]]), ('explored_weighted_by_initial_knowledge', [[0.5, 41], [0.9, 126]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",198.43223598305468,198.43223598305468,0
400.0,0,9.731578947368423,0.33227846005223344,0.31206964153333805,0.8635111095239419,0,0.1,5,0.995,0.9961602365462734,"{'seed': 19, 'initCellFunc': 'randominit'}",0.02,0.0,435.4,156.10697264631847,20,2,20,400,400,"[('explored_percentage', [[0.5, 40], [0.9, 172]]), ('explored_weighted_by_initial_knowledge', [[0.5, 38], [0.9, 160]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",196.62851571326846,196.62851571326846,0
400.0,0,9.894736842105265,0.3331921795050963,0.3430895706363112,0.9654982209110184,0,0.1,5,0.99,0.9883383731481912,"{'seed': 20, 'initCellFunc': 'randominit'}",0.02,0.0,435.25,152.49376524563985,20,2,20,400,400,"[('explored_percentage', [[0.5, 38], [0.9, 147]]), ('explored_weighted_by_initial_knowledge', [[0.5, 36], [0.9, 144]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",195.51922496352415,195.51922496352415,0
