Step,AgentID,prestige,lastTileKnowledge,curiosity
0,1,0.0,0.0014018592017724582,0.7943518809157196
0,2,0.0,0.003609111774417683,0.43748820602437366
0,3,0.0,0.003438471245515314,0.6727994922127187
0,4,0.0,0.0013914482894428167,0.4304302049952234
0,5,0.0,0.003490271057059246,0.6236566903283316
0,6,0.0,0.004207007107517831,0.34074487274939713
0,7,0.0,0.0011879287781397239,0.5616102079916954
0,8,0.0,0.002819639754210822,0.35746336092323927
0,9,0.0,0.0038343617730098494,0.5494300353603712
0,10,0.0,0.003464623338697956,0.5823886884978708
0,11,0.0,0.0013914482894428167,0.7636433178947802
0,12,0.0,0.0018026884462191734,0.6867433656048116
0,13,0.0,0.00025662118707273193,0.27437282718438777
0,14,0.0,0.005019179033349034,0.6962950415410684
0,15,0.0,0.001447716925737772,0.3941497349041479
0,16,0.0,0.0005918963488697281,0.7882312258337112
0,17,0.0,0.0017760999536901873,0.852180954703853
0,18,0.0,0.002876850176671122,0.2444006797260132
0,19,0.0,0.003921465192852004,0.592987536322968
0,20,0.0,0.00011964431892740142,0.6003274834930044
1,1,0.0032333517574656767,0.0032333517574656767,0.7943518809157196
1,2,0.0014748175025629158,0.0014748175025629158,0.43748820602437366
1,3,0.005000300913510599,0.005000300913510599,0.6727994922127187
1,4,0.001336346937180881,0.001336346937180881,0.4304302049952234
1,5,0.003420465635918061,0.003420465635918061,0.6236566903283316
1,6,0.0041228669653674745,0.0041228669653674745,0.34074487274939713
1,7,0.0011641702025769294,0.0011641702025769294,0.5616102079916954
1,8,0.003717562741561064,0.003717562741561064,0.35746336092323927
1,9,0.0037576745375496523,0.0037576745375496523,0.5494300353603712
1,10,0.0027590926665760234,0.0027590926665760234,0.5823886884978708
1,11,0.0013636193236539603,0.0013636193236539603,0.7636433178947802
1,12,0.0033953308719239968,0.0033953308719239968,0.6867433656048116
1,13,0.0049002948952403865,0.0049002948952403865,0.27437282718438777
1,14,0.004918795452682053,0.004918795452682053,0.6962950415410684
1,15,0.0017762780510924962,0.0017762780510924962,0.3941497349041479
1,16,0.0030724674240974084,0.0030724674240974084,0.7882312258337112
1,17,0.004783476871116714,0.004783476871116714,0.852180954703853
1,18,0.0028193131731376994,0.0028193131731376994,0.2444006797260132
1,19,0.003843035888994964,0.003843035888994964,0.592987536322968
1,20,0.003177553760512734,0.003177553760512734,0.6003274834930044
2,1,0.00640203647978204,0.003168684722316363,0.7943518809157196
2,2,0.005011747041492245,0.0035369295389293294,0.43748820602437366
2,3,0.009802589910846177,0.004802288997335579,0.6727994922127187
2,4,0.002133817288539877,0.0007974703513589959,0.4304302049952234
2,5,0.005708502160768754,0.002288036524850693,0.6236566903283316
2,6,0.008163276591427598,0.004040409626060125,0.34074487274939713
2,7,0.00230505700110232,0.0011408867985253908,0.5616102079916954
2,8,0.008519004802130033,0.0048014420605689695,0.35746336092323927
2,9,0.007440195584348311,0.0036825210467986594,0.5494300353603712
2,10,0.005463003479820526,0.002703910813244503,0.5823886884978708
2,11,0.0026732393220912235,0.0013096199984372634,0.7636433178947802
2,12,0.0067227551264095135,0.0033274242544855167,0.6867433656048116
2,13,0.008791914844545945,0.003891619949305558,0.27437282718438777
2,14,0.009739214996310466,0.0048204195436284125,0.6962950415410684
2,15,0.003784736632481819,0.002008458581389323,0.3941497349041479
2,16,0.006083485499712869,0.0030110180756154604,0.7882312258337112
