Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_50_step,explored_90_step,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,harvested_50_step,harvested_90_step,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,percentage_knowledge_harvested,size,step_limit,steps,total_initial_knowledge,use_distance,weighted_50_step,weighted_90_step
400.0,0,10.21578947368421,0.43494525895800396,0.34545563774146953,2.4279004046844457,0,0.1,5,50,141,0.995,0.992241082989187,"{'prop_random': 5, 'seed': 15, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,116,317,0.0,438.2,185.23032398387198,20,2,0.3029229580130463,20,400,400,249.58231745416987,0,50,146
400.0,0,9.526315789473683,0.433657998778029,0.44034869259363835,2.631104750869598,0,0.1,5,38,177,0.9975,0.9964564276836341,"{'prop_random': 5, 'seed': 16, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,93,271,0.0,436.45,213.6373417235944,20,2,0.33452853383139824,20,400,400,260.66211450043374,0,34,171
400.0,0,9.578947368421053,0.430507006088413,0.3686006783152566,2.2738421158650772,0,0.1,5,38,169,0.9875,0.985777158294627,"{'prop_random': 5, 'seed': 17, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,111,298,0.0,440.4,190.5688056890849,20,2,0.31115018279131323,20,400,400,249.98598843090997,0,39,172
400.0,0,10.22105263157895,0.41929727688606433,0.4476133648335196,2.597288888572,0,0.1,5,42,130,0.99,0.9946604912784505,"{'prop_random': 5, 'seed': 18, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,115,313,0.0,435.7,188.60612010130694,20,2,0.3145965470150237,20,400,400,244.7010005916939,0,39,122
400.0,0,9.731578947368423,0.4499730277164079,0.3536496357394883,2.3375076638739722,0,0.1,5,40,172,0.995,0.9938439230580303,"{'prop_random': 5, 'seed': 19, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,121,306,0.0,435.4,201.79128229088354,20,2,0.31394262219320446,20,400,400,262.35299977671974,0,51,172
400.0,0,9.894736842105265,0.46170619713034755,0.28911205345988544,2.756601205808734,0,0.1,5,38,147,0.99,0.9863485326993938,"{'prop_random': 5, 'seed': 20, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,114,347,0.0,435.25,174.50042361091113,20,2,0.27832229404306896,20,400,400,255.90714155047027,0,40,151
400.0,0,10.18421052631579,0.46344647142632267,0.4550959232976915,2.85328499894243,0,0.1,5,43,150,0.9825,0.9772391159092626,"{'prop_random': 5, 'seed': 21, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,107,342,0.0,439.0,180.95290207939436,20,2,0.28490667352957555,20,400,400,259.2369159498738,0,46,153
400.0,0,9.878947368421054,0.4319734184078936,0.42341606984233016,2.4556455500868517,0,0.1,5,44,159,1.0,1.0000000000000004,"{'prop_random': 5, 'seed': 22, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,133,310,0.0,433.8,205.51004035041842,20,2,0.3268060814621343,20,400,400,256.67101648577716,0,55,206
400.0,0,10.089473684210528,0.4314235480796185,0.347149148537177,2.5903549162747836,0,0.1,5,44,175,0.9975,0.9971117919644273,"{'prop_random': 5, 'seed': 23, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,105,296,0.0,434.45,195.08168028661322,20,2,0.31572911255967023,20,400,400,252.1945948590366,0,37,171
400.0,0,10.35263157894737,0.44796710051664684,0.45714109733373,2.9291270086439547,0,0.1,5,45,195,0.9925,0.9881530930400391,"{'prop_random': 5, 'seed': 24, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,118,328,0.0,437.95,182.55104033025736,20,2,0.29369874687954717,20,400,400,253.6974689128863,0,56,208
400.0,0,8.663157894736843,0.4280047395704169,0.299706773208034,2.482853464156514,0,0.1,5,44,173,0.9975,0.9968145896313928,"{'prop_random': 5, 'seed': 25, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,106,316,0.0,438.5,182.46949793894458,20,2,0.3031487133945725,20,400,400,245.67924192569515,0,46,171
400.0,0,10.136842105263158,0.43192789311988405,0.3959991140464611,2.228247293898006,0,0.1,5,44,177,0.9925,0.990819503501371,"{'prop_random': 5, 'seed': 26, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,124,320,0.0,435.45,191.1693860170431,20,2,0.3111183540865262,20,400,400,250.79947807123656,0,60,190
400.0,0,10.021052631578947,0.4409238881673413,0.3790480656595065,3.438866833539632,0,0.1,5,42,186,0.995,0.9947309122565536,"{'prop_random': 5, 'seed': 27, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,109,308,0.0,438.55,188.35860798472746,20,2,0.30357700431021684,20,400,400,253.25061975049877,0,43,160
400.0,0,9.88421052631579,0.4346284771036816,0.3746333209868046,2.6284606688385064,0,0.1,5,39,164,0.9875,0.9882622099508929,"{'prop_random': 5, 'seed': 28, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,99,303,0.0,435.2,198.14712942253988,20,2,0.31750122608695924,20,400,400,254.72777019761148,0,29,155
400.0,0,10.321052631578947,0.40434813839976586,0.40187627879700416,3.040186390701047,0,0.1,5,47,158,0.9975,0.998269567334184,"{'prop_random': 5, 'seed': 29, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,93,277,0.0,439.6,195.1811873587109,20,2,0.3300088048678585,20,400,400,241.40504611856386,0,34,133
400.0,0,10.063157894736843,0.44297026639387044,0.3245874681509612,2.874617470582202,0,0.1,5,40,163,0.9925,0.9938260519025711,"{'prop_random': 5, 'seed': 30, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,113,313,0.0,434.55,186.22561243839365,20,2,0.3002009722020271,20,400,400,253.19856061403553,0,40,164
400.0,0,10.03157894736842,0.40589877258080437,0.3758614858374974,1.8035181014999526,0,0.1,5,51,179,0.99,0.9896771647880435,"{'prop_random': 5, 'seed': 31, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,104,283,0.0,434.95,198.0087456748108,20,2,0.3323467960563901,20,400,400,243.17940522612193,0,41,179
400.0,0,10.178947368421053,0.4162899939394943,0.3316310496848621,2.5866522984337674,0,0.1,5,43,177,1.0,1.0000000000000009,"{'prop_random': 5, 'seed': 32, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,112,291,0.0,434.4,195.61670418241854,20,2,0.32409359665259607,20,400,400,246.35955030331536,0,44,166
400.0,0,10.263157894736842,0.41450802539464254,0.5711929736656977,1.8840766484678522,0,0.1,5,47,168,1.0,0.9999999999999996,"{'prop_random': 5, 'seed': 33, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,104,303,0.0,438.75,209.1291536899792,20,2,0.3398556381628145,20,400,400,251.16204839866504,0,48,190
400.0,0,10.142105263157896,0.42464493112215523,0.24322227841856742,2.667977639222655,0,0.1,5,45,187,1.0,0.9999999999999994,"{'prop_random': 5, 'seed': 34, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,105,307,0.0,434.45,192.15620834562986,20,2,0.31588624885074434,20,400,400,248.28907789605816,0,37,160
400.0,0,10.094736842105263,0.4235017522294744,0.331061391452139,2.340116000189923,0,0.1,5,41,186,0.995,0.9963536093502637,"{'prop_random': 5, 'seed': 35, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,99,296,0.0,435.9,196.42812474185334,20,2,0.32124452216338417,20,400,400,249.57544568438303,0,36,179
400.0,0,9.626315789473685,0.4299707870586509,0.47625128827243507,1.9484313112367742,0,0.1,5,50,179,0.99,0.9927036383805953,"{'prop_random': 5, 'seed': 36, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,94,291,0.0,436.4,204.93235393558908,20,2,0.3272092208181954,20,400,400,255.63417357268042,0,39,159
400.0,0,10.147368421052631,0.4311596666348366,0.6497363624330534,2.7062505336416987,0,0.1,5,54,198,0.995,0.9978250173374305,"{'prop_random': 5, 'seed': 37, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,113,311,0.0,437.65,195.61922412058053,20,2,0.3164562341432379,20,400,400,252.30844792764123,0,55,191
400.0,0,9.963157894736842,0.43046694497526133,0.3177594493424013,2.4267946666024995,0,0.1,5,45,194,0.985,0.9822284895274077,"{'prop_random': 5, 'seed': 38, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,103,316,0.0,435.45,180.37880355127157,20,2,0.29951494241768317,20,400,400,245.81077943960307,0,37,205
400.0,0,10.30526315789474,0.4309223771954271,0.5109792668998642,2.793383862862571,0,0.1,5,44,163,0.9875,0.9869963549978152,"{'prop_random': 5, 'seed': 39, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,100,287,0.0,437.2,206.99176596967564,20,2,0.32892607944084007,20,400,400,256.85538596783437,0,39,155
