Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,size,step_limit,steps,stored_percentage,totalInitialKnowledge,total_initial_knowledge,use_distance
400.0,0,10.163157894736843,0.33357796039336024,0.3530531872930578,0.8680304569169597,0,0.1,5,0.9925,0.9948247621761329,"{'seed': 12, 'initCellFunc': 'randominit'}",0.02,0.0,437.2,143.31473802188222,20,2,20,400,400,"[('explored_percentage', [[0.5, 43], [0.9, 172]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 181]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",191.9269955948471,191.9269955948471,0
400.0,0,10.178947368421051,0.35017392780846635,0.2383449354500462,0.9469491560533934,0,0.1,5,0.9875,0.9859366720520542,"{'seed': 13, 'initCellFunc': 'randominit'}",0.02,0.0,438.85,152.54532825878658,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 222]]), ('explored_weighted_by_initial_knowledge', [[0.5, 45], [0.9, 222]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",202.33297041268702,202.33297041268702,0
400.0,0,9.926315789473685,0.34922907957735816,0.3085012283012389,0.9867314939919941,0,0.1,5,0.995,0.9942953990907754,"{'seed': 14, 'initCellFunc': 'randominit'}",0.02,0.0,436.05,163.15984145252486,20,2,20,400,400,"[('explored_percentage', [[0.5, 45], [0.9, 187]]), ('explored_weighted_by_initial_knowledge', [[0.5, 45], [0.9, 172]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",206.2874854850351,206.2874854850351,0
400.0,0,10.21578947368421,0.3433096187343456,0.2962954574463066,0.9832226815282394,0,0.1,5,0.995,0.9904656853882143,"{'seed': 15, 'initCellFunc': 'randominit'}",0.02,0.0,438.2,159.65922317093498,20,2,20,400,400,"[('explored_percentage', [[0.5, 50], [0.9, 141]]), ('explored_weighted_by_initial_knowledge', [[0.5, 49], [0.9, 141]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",202.49087735942607,202.49087735942607,0
400.0,0,9.526315789473683,0.34532976832437,0.3314475928535342,0.9405114862920428,0,0.1,5,0.9975,0.9989593749316733,"{'seed': 16, 'initCellFunc': 'randominit'}",0.02,0.0,436.45,152.3747966478618,20,2,20,400,400,"[('explored_percentage', [[0.5, 38], [0.9, 177]]), ('explored_weighted_by_initial_knowledge', [[0.5, 35], [0.9, 173]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",200.32570187989572,200.32570187989572,0
400.0,0,9.578947368421053,0.32995388550362953,0.2696201925849425,0.944085539313602,0,0.1,5,0.9875,0.989426439698572,"{'seed': 17, 'initCellFunc': 'randominit'}",0.02,0.0,440.4,149.9074533928255,20,2,20,400,400,"[('explored_percentage', [[0.5, 38], [0.9, 169]]), ('explored_weighted_by_initial_knowledge', [[0.5, 40], [0.9, 166]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",193.1682698719928,193.1682698719928,0
400.0,0,10.22105263157895,0.3237441217943129,0.3346016196891089,0.9425205966804593,0,0.1,5,0.99,0.9937054705675394,"{'seed': 18, 'initCellFunc': 'randominit'}",0.02,0.0,435.7,144.94436712645205,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 130]]), ('explored_weighted_by_initial_knowledge', [[0.5, 45], [0.9, 134]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",188.6586148917874,188.6586148917874,0
400.0,0,9.731578947368423,0.3291658477112773,0.32909571171861096,0.9305497193617136,0,0.1,5,0.995,0.998403654792831,"{'seed': 19, 'initCellFunc': 'randominit'}",0.02,0.0,435.4,152.19471763731767,20,2,20,400,400,"[('explored_percentage', [[0.5, 40], [0.9, 172]]), ('explored_weighted_by_initial_knowledge', [[0.5, 41], [0.9, 174]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",193.7866319977019,193.7866319977019,0
400.0,0,9.894736842105265,0.3296190836163828,0.31862411349011566,0.9767459395342769,0,0.1,5,0.99,0.9913506775551439,"{'seed': 20, 'initCellFunc': 'randominit'}",0.02,0.0,435.25,146.51209943313992,20,2,20,400,400,"[('explored_percentage', [[0.5, 38], [0.9, 147]]), ('explored_weighted_by_initial_knowledge', [[0.5, 36], [0.9, 144]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",191.64849035803869,191.64849035803869,0
400.0,0,10.18421052631579,0.334235995472885,0.3054124931548431,0.949245563444296,0,0.1,5,0.9825,0.9889714223110343,"{'seed': 21, 'initCellFunc': 'randominit'}",0.02,0.0,439.0,153.83138451244065,20,2,20,400,400,"[('explored_percentage', [[0.5, 43], [0.9, 150]]), ('explored_weighted_by_initial_knowledge', [[0.5, 41], [0.9, 147]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",196.48271839831358,196.48271839831358,0
