Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_50_step,explored_90_step,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,harvested_50_step,harvested_90_step,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,percentage_knowledge_harvested,size,step_limit,steps,total_initial_knowledge,use_distance,weighted_50_step,weighted_90_step
400.0,0,9.73157894736842,0.03511688665885055,0.003004563555645781,0.49465081771041364,0,0.1,5,42,150,0.99,0.9990128653948255,"{'seed': 0, 'std': 5, 'number_gaussians': 2, 'initCellFunc': 'multipleGaussians'}",0.02,98,272,0.0,436.45,15.23283105907,20,2,0.3068204417584778,20,400,400,20.264236728466763,0,61,110
400.0,0,10.294736842105262,0.03770137951286091,0.014211650781555124,0.5614632554337348,0,0.1,5,41,159,1.0,1.0000000000000002,"{'seed': 1, 'std': 5, 'number_gaussians': 2, 'initCellFunc': 'multipleGaussians'}",0.02,115,388,0.0,434.65,12.70002806213974,20,2,0.25580459766542457,20,400,400,20.26423672846671,0,57,134
400.0,0,10.152631578947368,0.033503163522593964,0.036323017096177766,0.42119324971176314,0,0.1,5,41,148,0.995,0.9996997945268911,"{'seed': 2, 'std': 5, 'number_gaussians': 2, 'initCellFunc': 'multipleGaussians'}",0.02,81,274,0.0,436.95,16.814279732605705,20,2,0.3386740596940111,20,400,400,20.264236728468497,0,32,123
400.0,0,10.252631578947367,0.03297233944754578,0.02407443169115548,0.48729169529160715,0,0.1,5,41,187,0.99,0.9996466255719842,"{'seed': 3, 'std': 5, 'number_gaussians': 2, 'initCellFunc': 'multipleGaussians'}",0.02,87,253,0.0,437.9,17.334487326153837,20,2,0.34915210694862203,20,400,400,20.26423672846887,0,19,157
400.0,0,9.926315789473687,0.03809993404938637,0.029627585997896395,0.5078201108243531,0,0.1,5,44,156,0.995,0.985530265483001,"{'seed': 4, 'std': 5, 'number_gaussians': 2, 'initCellFunc': 'multipleGaussians'}",0.02,150,-1,0.0,435.3,12.309444616344345,20,2,0.2479374464498853,20,400,400,20.264236728466514,0,61,188
400.0,0,9.752631578947367,0.031001398791491754,0.008262660980687283,0.4210029376638078,0,0.1,5,49,209,0.99,0.9989558878681649,"{'seed': 5, 'std': 5, 'number_gaussians': 2, 'initCellFunc': 'multipleGaussians'}",0.02,68,187,0.0,439.85,19.26600916908898,20,2,0.3880569160951995,20,400,400,20.264236728469744,0,42,95
400.0,0,10.236842105263161,0.037682056975514334,0.05133551386227895,0.5168233880251175,0,0.1,5,40,173,0.9925,0.9998254780627057,"{'seed': 6, 'std': 5, 'number_gaussians': 2, 'initCellFunc': 'multipleGaussians'}",0.02,200,394,0.0,439.35,12.718964148743005,20,2,0.2561860092647505,20,400,400,20.26423672846818,0,86,267
400.0,0,9.91578947368421,0.03663584800924717,0.038222220322679135,0.44182785007900777,0,0.1,5,42,140,1.0,0.9999999999999994,"{'seed': 7, 'std': 5, 'number_gaussians': 2, 'initCellFunc': 'multipleGaussians'}",0.02,93,342,0.0,435.75,13.744248935678296,20,2,0.27683734650051456,20,400,400,20.264236728465537,0,36,169
400.0,0,10.268421052631581,0.033421136135067024,0.03858989533862866,0.6659664270572987,0,0.1,5,36,211,0.99,0.998367848317722,"{'seed': 8, 'std': 5, 'number_gaussians': 2, 'initCellFunc': 'multipleGaussians'}",0.02,152,277,0.0,437.05,16.89466657237703,20,2,0.3402932154238352,20,400,400,20.264236728466432,0,38,209
400.0,0,10.336842105263157,0.03497068186458265,0.043608051909643654,0.5430086373995714,0,0.1,5,38,162,0.9975,0.9867102002128044,"{'seed': 9, 'std': 5, 'number_gaussians': 2, 'initCellFunc': 'multipleGaussians'}",0.02,153,323,0.0,434.85,15.376111757460185,20,2,0.3097064087205175,20,400,400,20.264236728469875,0,71,171
